"id_tps"	"name"	"sex"	"set"	"nat"	"age"	"weight"	"height"	"Attractiveness"	"Sextypicality"	"Asymmetry"	"Distinctiveness"	"SATRA"
"39"	"ID81_1_F_CMR13_DSC_0366"	"F"	"CMR13"	"CMR"	21	66.5	160	2.647058824	-0.215932308484572	0.146805035672041	0.0456962781887563	-0.9108371479066
"40"	"ID82_1_F_CMR13_DSC_0362"	"F"	"CMR13"	"CMR"	22	81.4	163	2.588235294	0.292895364657879	0.139934809587766	0.0507727406778092	-0.989832979189239
"41"	"ID83_1_F_CMR13_DSC_0358"	"F"	"CMR13"	"CMR"	22	61.9	156	2.235294118	-0.419748239375001	0.145460989032882	0.080577335479345	-1.46380796151336
"42"	"ID84_1_F_CMR13_DSC_0354"	"F"	"CMR13"	"CMR"	22	57.5	160	3.529411765	-0.492414113570465	0.14611302551111	0.0555916939842775	0.274100309246627
"43"	"ID89_1_F_CMR13_DSC_0394"	"F"	"CMR13"	"CMR"	20	61.2	169	3.382352941	-0.55972147913472	0.157247448464906	0.0510575410489358	0.0766107323829581
"45"	"ID90_1_F_CMR13_DSC_0398"	"F"	"CMR13"	"CMR"	22	61.9	172.5	2.911764706	-0.349004120645796	0.149613647481285	0.0560848746579054	-0.55535591116351
"46"	"ID91_1_F_CMR13_DSC_0390"	"F"	"CMR13"	"CMR"	17	58.8	168.5	3.588235294	-0.218269707943974	0.143825374338995	0.0401069923765835	0.353096139186337
"47"	"ID92_1_F_CMR13_DSC_0402"	"F"	"CMR13"	"CMR"	21	53	156	3.147058824	0.222236494801209	0.142109322127764	0.0582961872083938	-0.239372588718812
"48"	"ID97_2_F_CMR13_DSC_0436"	"F"	"CMR13"	"CMR"	20	59.8	158.5	3.529411765	-0.549642578836331	0.143362346888269	0.0652392502088641	0.274100309246627
"49"	"ID98_1_F_CMR13_DSC_0427"	"F"	"CMR13"	"CMR"	17	60.1	165	3.5	-0.369463185965922	0.142243930330097	0.066769837835173	0.234602393605307
"101F]"	"101F"	"F"	"CMR16"	"CMR"	27	50.7	157	3.918367347	0.717671498820778	0.147407715569913	0.083605552659036	0.796440086069146
"102F]"	"102F"	"F"	"CMR16"	"CMR"	24	69.3	152.5	2.87755102	0.300502051408344	0.147883949659084	0.0561601567760282	-0.60130246633987
"103F]"	"103F"	"F"	"CMR16"	"CMR"	23	66.7	156	1.897959184	0.414909268761261	0.142266210645368	0.0731795436237472	-1.91682486702726
"104F]"	"104F"	"F"	"CMR16"	"CMR"	18	65.1	156.5	2.265306122	-0.185344515980133	0.144910348152125	0.101933255516229	-1.42350396744095
"105F]"	"105F"	"F"	"CMR16"	"CMR"	23	61	157	2.693877551	0.101287582629524	0.143743586647526	0.0357642085033663	-0.847962916133023
"106F]"	"106F"	"F"	"CMR16"	"CMR"	20	54	158	2.93877551	0.667394549895601	0.149861902693126	0.0664353887100807	-0.519082315961175
