Rater	F_22_ATTR	F_23_ATTR	F_29_ATTR	F_33_ATTR	F_37_ATTR	F_39_ATTR	F_43_ATTR	F_46_ATTR	F_47_ATTR	F_53_ATTR	F_61_ATTR	F_62_ATTR	F_65_ATTR	F_66_ATTR	F_69_ATTR	F_73_ATTR	F_74_ATTR	F_76_ATTR	F_91_ATTR	F_92_ATTR	F_95_ATTR	F_98_ATTR	F_99_ATTR	F_102_ATTR	F_104_ATTR	F_105_ATTR	F_110_ATTR	F_111_ATTR	F_115_ATTR	F_116_ATTR	F_120_ATTR	F_131_ATTR	F_132_ATTR	F_135_ATTR	F_137_ATTR	F_138_ATTR	F_139_ATTR	F_151_ATTR	F_152_ATTR	F_153_ATTR	F_154_ATTR	F_155_ATTR	F_156_ATTR	F_158_ATTR	F_164_ATTR	F_170_ATTR	F_176_ATTR	F_178_ATTR	F_183_ATTR	F_185_ATTR	F_186_ATTR	F_188_ATTR	F_190_ATTR	F_196_ATTR	F_197_ATTR	F_199_ATTR	F_200_ATTR	F_205_ATTR	F_206_ATTR	F_213_ATTR	F_219_ATTR	F_227_ATTR	F_232_ATTR	F_238_ATTR	F_239_ATTR	F_256_ATTR	F_258_ATTR	F_275_ATTR	F_282_ATTR	F_286_ATTR	F_299_ATTR	F_302_ATTR	F_303_ATTR	F_304_ATTR	F_305_ATTR	F_307_ATTR	F_309_ATTR	F_310_ATTR	F_323_ATTR	F_330_ATTR	F_334_ATTR	F_340_ATTR	F_341_ATTR	F_345_ATTR	F_352_ATTR	F_355_ATTR	F_363_ATTR	F_365_ATTR	F_366_ATTR	F_369_ATTR	F_374_ATTR	F_377_ATTR	F_378_ATTR	F_380_ATTR	F_382_ATTR	F_386_ATTR	F_393_ATTR	F_395_ATTR	F_398_ATTR	F_404_ATTR	F_405_ATTR	F_419_ATTR	F_424_ATTR	F_427_ATTR	F_429_ATTR	F_434_ATTR	F_441_ATTR	F_444_ATTR	F_447_ATTR	F_452_ATTR	F_453_ATTR	F_454_ATTR	F_456_ATTR	F_457_ATTR	F_460_ATTR	F_465_ATTR	F_468_ATTR	F_470_ATTR	F_473_ATTR	F_474_ATTR	F_475_ATTR	F_484_ATTR	F_486_ATTR	F_490_ATTR	F_492_ATTR	F_493_ATTR	F_497_ATTR	F_502_ATTR	F_503_ATTR	F_505_ATTR	F_513_ATTR	F_514_ATTR	F_521_ATTR	F_523_ATTR	F_526_ATTR	F_527_ATTR	F_532_ATTR	F_533_ATTR	F_534_ATTR	F_535_ATTR	F_536_ATTR	F_537_ATTR	F_539_ATTR	F_542_ATTR
TUR259																																										5					5																																				5	6		3													6																							3	2																					
TUR260	1															1											1																																													3		3																																		1								1																											1	
TUR261																							2																2																																																						3											5						4																	2			3										4				
TUR262																	2	1																	1																												2						1	1						1																2																																																				
TUR263		1								1																																		2		6				2																														5																															6																3																	
TUR264																																					3																							3																		2																				1						1										2								2																		1				
TUR265									5																									2									3																																	6					4																									6																																			2			
TUR266																3																							2						4			6																					1																														6										4																				7															
TUR267						1	4																								2																																																							2																			2											2																4		1										
TUR268												1					1																																2																									5																	3																								1																													
TUR269	1			6									4																													1																																																				4																								1																								7		
TUR270					1																	3							4	6																																															3											2					3																											1																								
TUR271		2																																																	1								6			4										1											5																																										5			3																
TUR272																							2			3	6													2																					5																																			7												7																														1						
TUR273																					4		2	6			4																																																		4	3																								3																																5										
